Product_id,Name,Manufacturer,Category,Price,Stock
1,Super Electric razor,Apple,Constructions,1294,9
2,Black Series Printer,Philips,House Items,1747,13
3,Black Series Blender,Toshiba,IT,425,12
4,Car toy,ReMarkable,Appliance,2037,1
5,Ultra Backup charger,Nintendo,Constructions,1805,5
6,Facial cleansing machine,DeWalt,IT,275,3
7,Kitchen scale,Toshiba,Constructions,1921,7
8,Clothes dryer,Nintendo,Constructions,1048,13
9,Sandwich maker,Yamaha,Appliance,285,15
10,Vacuum cleaner,Samsung,House Items,1038,10
11,Black Series Backup charger,Samsung,IT,274,6
12,Electric grill,Toshiba,House Items,2552,10
13,Ultra Air purifier,Samsung,House Items,145,2
14,Black Series Car toy,Apple,IT,1829,12
15,Alarm clock,Samsung,IT,218,3
16,Hair dryer,Bosch,Constructions,2006,15
17,Rice cooker,Hama,Appliance,1493,4
18,Ultra Air conditioner,Logitech,Appliance,1802,8
19,Super Facial cleansing machine,Samsung,Constructions,2891,8
20,Vacuum cleaner,Lenovo,Appliance,2525,8
21,Lift,Logitech,IT,1593,14
22,Black Series Timer,Samsung,Constructions,2794,5
23,Black Series Tablet,Samsung,House Items,2874,13
24,Smart television,ReMarkable,House Items,1833,1
25,Ultra Air purifier,Nintendo,Constructions,1372,5
26,Super Remote control,Toshiba,IT,2124,10
27,Super Computer,Samsung,IT,2999,9
28,Ultra Meat grinder,Logitech,Constructions,2054,11
29,Black Series Dishwasher,Emerson,Appliance,2566,7
30,Black Series Kettle,Toshiba,House Items,81,11
31,Black Series Microphone,Toshiba,Constructions,2850,4
32,Ultra External hard drive,Nokia,Appliance,1144,6
33,Hair straightening machine,Logitech,IT,218,12
34,Ultra Electric stove,Asus,Appliance,743,14
35,Ultra Copier,Yamaha,Appliance,2261,6
36,Ultra Water pumps,Philips,House Items,2472,4
37,Black Series Water pumps,Samsung,Constructions,2660,5
38,Black Series Robotic vacuum cleaner,Yamaha,Appliance,347,6
39,Ultra Copier,Lenovo,House Items,1878,6
40,Ultra Bread maker,DeWalt,House Items,461,9
41,Fax,Logitech,IT,147,9
42,Smartphone,Lenovo,Constructions,2247,13
43,Super Mosquito racket,Lenovo,Constructions,866,7
44,Black Series Alarm clock,Apple,IT,2912,8
45,Black Series Fish tank,Hama,Constructions,101,15
46,Ultra Smartphone,Philips,House Items,2080,10
47,Clothes dryer,ReMarkable,Constructions,2055,14
48,Super Headset,Yamaha,Constructions,825,15
49,Ultra Water pumps,Nintendo,IT,540,8
50,Super Mosquito racket,Toshiba,House Items,2942,15
51,Curling iron,Emerson,Constructions,420,7
52,Black Series Juicer,Lenovo,IT,626,7
53,Ultra Curling iron,Logitech,House Items,703,12
54,Black Series Plotter,Emerson,IT,88,13
55,Ultra Water pumps,Nokia,Constructions,1191,12
56,Ultra Electric pencil sharpener,Toshiba,Appliance,1611,1
57,Super Exhaust fan,Lenovo,IT,489,4
58,Black Series Clothes dryer,Philips,Constructions,1027,10
59,Air purifier,Emerson,IT,321,7
60,Ultra Mosquito racket,Philips,Appliance,1551,15
61,Ultra Microphone,Nintendo,Appliance,2346,10
62,Super Monitor,Nokia,House Items,1690,3
63,Black Series Electric razor,ReMarkable,Appliance,2839,9
64,Super Tablet,Yamaha,IT,1953,8
65,Ultra Watch,Nintendo,Constructions,783,12
66,Super Oil-free fryer,DeWalt,Constructions,2493,15
67,Vacuum cleaner,Philips,IT,2520,8
68,Ultra Iron,Nokia,IT,934,6
69,Ultra Sewing machine,Asus,Constructions,2765,2
70,Black Series Scale,DeWalt,House Items,828,9
71,Ultra Inkjet printer,Emerson,IT,1837,15
72,Kitchen scale,DeWalt,House Items,1692,8
73,Wall fan,Huawei,House Items,278,4
74,Radio,Samsung,IT,2395,11
75,Super Walkie-talkie,Asus,Appliance,2311,9
76,Clothes dryer,Bosch,IT,1533,2
77,Black Series Watch,Nintendo,Appliance,2518,4
78,Super Pressure cooker,Nokia,IT,1456,12
79,Torch,Lenovo,Appliance,2256,11
80,Dishwasher,Emerson,IT,1833,9
81,Earphones,Huawei,Appliance,666,1
82,Scale,ReMarkable,IT,2705,12
83,Super Electric stove,Toshiba,Constructions,1775,10
84,Super Juicer,Yamaha,Constructions,2497,6
85,Ultra Mosquito racket,Toshiba,House Items,2436,2
86,Mosquito racket,Bosch,Constructions,1542,1
87,Super Electric pencil sharpener,Huawei,Appliance,2717,12
88,Black Series Mouse,Samsung,Constructions,81,5
89,Black Series Pressure cooker,Nintendo,Constructions,2749,1
90,Ultra Clock,Asus,IT,1666,11
91,Ultra Sewing machine,Toshiba,Constructions,417,7
92,Black Series Headset,Nokia,Appliance,894,4
93,Super Air conditioner,Asus,House Items,2999,15
94,Projector,Asus,Appliance,982,5
95,Ultra Lawn mower,Nintendo,Constructions,1603,15
96,Super Drill,Lenovo,House Items,2169,2
97,Ultra USB drive,Nintendo,Constructions,1062,9
98,Black Series Plotter,Logitech,Constructions,1852,2
99,Black Series Mosquito racket,Hama,Constructions,1762,10
100,Ultra Water pumps,Apple,Constructions,2935,8
101,Ultra Toaster,Philips,IT,974,5
102,Ultra Bulb,Nintendo,House Items,2722,13
103,Ultra Scale,Yamaha,Appliance,2346,8
104,Ultra Smartphone,Hama,House Items,1109,9
105,Super Timer,DeWalt,Appliance,2969,10
106,Ultra Earphones,Apple,Constructions,1982,3
107,Electric razor,Toshiba,Appliance,2136,10
108,Electric grill,Lenovo,House Items,2877,7
109,Ultra Tablet,Philips,House Items,2908,5
110,Super Water heater,Lenovo,Appliance,2605,10
111,Ultra Fish tank,Huawei,House Items,2661,11
112,Earphones,Logitech,IT,749,6
113,Black Series Walkie-talkie,DeWalt,House Items,1667,1
114,Super Refrigerator,Hama,Constructions,766,5
115,Super Headset,ReMarkable,Constructions,816,11
116,Ultra Juicer,Nokia,IT,2305,4
117,Ultra Meat grinder,Nokia,House Items,2656,7
118,Black Series Coffee maker,Philips,House Items,134,2
119,Kettle,Lenovo,IT,1438,4
120,Alarm clock,Hama,Constructions,717,8
121,Radio,Toshiba,Constructions,1817,5
122,Super Water pumps,Philips,House Items,2332,5
123,Ultra USB drive,Huawei,House Items,2004,6
124,Ultra Washing machine,Toshiba,House Items,1415,14
125,Black Series Printer,Bosch,Appliance,1239,11
126,Black Series Exhaust fan,Asus,IT,1786,10
127,Black Series Facial cleansing machine,Toshiba,IT,2790,13
128,Super Tablet,Bosch,IT,2086,9
129,Ultra Torch,Hama,Constructions,1147,6
130,Fax,Bosch,Appliance,2294,10
131,Super Lawn mower,Asus,Constructions,667,7
132,Black Series Oven,Emerson,Constructions,132,4
133,Super External hard drive,Samsung,House Items,668,7
134,Ultra Electric grill,ReMarkable,IT,618,1
135,Dvd player,Bosch,IT,1192,6
136,Black Series Curling iron,Yamaha,Constructions,537,10
137,Ultra Kettle,Emerson,Appliance,1871,3
138,Ultra Electric guitar,Bosch,House Items,791,6
139,Ultra Juicer,Logitech,House Items,987,10
140,Super Robotic vacuum cleaner,Toshiba,House Items,1695,1
141,Wall fan,Samsung,Constructions,1805,11
142,Black Series Radiator,Yamaha,House Items,633,6
143,Super Lift,Philips,House Items,1020,10
144,Black Series Calculator,Lenovo,Constructions,2006,1
145,Black Series Microwave,Hama,House Items,121,14
146,Ceiling fan,Yamaha,IT,2930,1
147,Ultra Electric grill,Bosch,House Items,938,9
148,Ultra Clothes dryer,Emerson,Constructions,629,7
149,Electric frying pan,DeWalt,Appliance,2216,12
150,Super Webcam,Nintendo,House Items,1111,8
151,Mp3 player,ReMarkable,IT,607,8
152,Ultra Toaster,Hama,IT,1600,1
153,Super Robotic vacuum cleaner,Samsung,Appliance,2571,7
154,Black Series Toaster,Apple,IT,469,7
155,Black Series Radio,Bosch,IT,1879,8
156,Super Projector,Nokia,IT,740,4
157,Ultra Projector,Bosch,IT,2509,2
158,Ultra Doorbell camera,Lenovo,Appliance,77,13
159,Super Digital camera,Hama,Appliance,2716,12
160,Ultra USB drive,Asus,Constructions,544,3
161,Inkjet printer,ReMarkable,Constructions,1491,4
162,Ultra Fax,Apple,House Items,1628,8
163,Black Series Copier,Logitech,Appliance,2458,15
164,Reading lamp,Lenovo,IT,1807,1
165,Super Mixer,Logitech,IT,702,14
166,Ultra Juicer,Apple,IT,1055,10
167,Super Meat grinder,ReMarkable,House Items,845,2
168,Ultra Bulb,Logitech,House Items,2978,5
169,Black Series Electric guitar,Samsung,Constructions,1990,9
170,Juicer,Samsung,Constructions,120,1
171,Coffee maker,Huawei,Constructions,2126,15
172,Super Grandfather clock,ReMarkable,House Items,1010,11
173,Torch,Hama,House Items,573,5
174,Black Series Doorbell camera,Nokia,Appliance,282,5
175,Black Series Lift,Asus,IT,1211,7
176,Torch,Asus,Appliance,2126,11
177,Black Series Piano,Emerson,IT,2583,5
178,Super Garage,Toshiba,House Items,853,8
179,Black Series Bulb,Hama,IT,1041,1
180,Super Electric pencil sharpener,Apple,Constructions,2328,5
181,Hair dryer,Yamaha,Constructions,2659,13
182,Super Water purifier,DeWalt,House Items,2749,1
183,Juicer,Lenovo,Constructions,1890,7
